poblacion,sitio,web,juego,tematica,max_jugadores,rango_precio,latitud,longitud,publicar,fecha,jugadores,valoracion,observaciones,foto,Team building,Personas,Pagina
Barcelona,Tactic room,http://www.tacticgame.es/,Epidemia Z,,5,,"41,40734370","2,17472440",si,,,,,,no,,
Barcelona,The house of whispers,http://thehouseofwhispers.com/,La historia de Myra Savage,Terror,5,,"41,40402650","2,16565960",si,2016-12-10,Alcaparrones,4,,,no,,
Barcelona,The resistance,http://www.resistanceroom.com/es/,Lanzadera alien,,8,,"41,38555690","2,12736750",si,,,,,,no,,
Barcelona,The rombo code,https://barcelona.therombocode.es/,La fuga de casanova,,,,"41,41035600","2,16868050",si,,,,,,,,
Barcelona,The Witching Hour,http://thewitchinghour.es/,La juguetería maldita,Terror,6,,"41,38475000","2,12850760",si,,,,,,no,,
Barcelona,The Witching Hour,http://thewitchinghour.es/,Can bruixa?,Terror,6,,"41,38475000","2,12850760",no,,,,,,no,,
Barcelona,The Witching Hour,http://thewitchinghour.es/,Terror en el Orient Express?,Terror,6,,"41,38475000","2,12850760",no,,,,,,no,,
Barcelona,Tic Tac room,http://tictacroom.es,Walter Gate,,6,,"41,37346900","2,12629830",si,2015-11-21,Alcaparrones,3,,,no,,
Barcelona,Tolok room escape,http://www.tolokroomescape.com/,El misterio maya,,5,,"41,43205320","2,17836150",si,,,,,,no,,
Barcelona,Top secret,http://www.topsecretbarcelona.com/,Ley seca,,6,,"41,40496470","2,19746060",si,,,,,,no,,
Barcelona,Totem room escape,http://totemescaperoom.com/,Las profecias de El Bosco,,6,,"41,43990440","2,16166820",si,,,,,,no,,
Barcelona,Training room,http://trainingroombcn.com/,,,6,,"41,37643400","2,13301850",si,,,,,,no,,
Barcelona,Últim avís,https://ultimavis.cat/,Últim avís,,5,,"41,39969200","2,15712130",si,2016-03-12,Bailongos,4,,,no,,
Barcelona,White rabbit,http://www.whiterabbit.cat,Invitation,Terror,6,,"41,38631320","2,15782160",si,2016-02-20,Bailongos,3,,,no,,
Barcelona,White rabbit,http://www.whiterabbit.cat,The thinking room,,2,,"41,38631320","2,15782160",si,,,,,,no,,
Barcelona,White rabbit,http://www.whiterabbit.cat,Playground,,20,,"41,38631320","2,15782160",si,,,,,,no,,
Barcelona,Xcape,http://www.juegosdeescapebarcelona.com/,El castillo de las tinieblas,Terror,8,,"41,37837200","2,14991930",si,,,,,,no,,
Barcelona,Xcape,http://www.juegosdeescapebarcelona.com/,Celda infernal,,8,,"41,37837200","2,14991930",si,,,,,,no,,
Barcelona,Xcape,http://www.juegosdeescapebarcelona.com/,El misterio del antiguo Egipto,,8,,"41,37837200","2,14991930",si,,,,,,no,,
Barcelona,Xcape,http://www.juegosdeescapebarcelona.com/,Galeria de cadaveres,,8,,"41,37837200","2,14991930",si,,,,,,,,
Barcelona,Xcape,http://www.juegosdeescapebarcelona.com/,Casino Royal,,8,,"41,37837200","2,14991930",si,,,,,,,,
Barcelona,Xcape,http://www.juegosdeescapebarcelona.com/,El diario de MIko,,8,,"41,37837200","2,14991930",si,,,,,,,,
Bilbao,Eskapa2,https://eskapa2.com/,VIaje a lo desconocido,,6,,"43,27479900","-2,95688000",si,2017-08-07,Nadgi,"4,3",,,no,,
Berga,Insomnia corporation,http://www.insomniacorp.com/,El còctel del doctor,Terror,6,,"42,09989720","1,83751740",si,2016-03-27,Nadgi,4,,,no,,
Berga,Insomnia corporation,http://www.insomniacorp.com/,XPERIMENT,Terror,5,,"42,09989720","1,83751740",si,,,,,,no,,
Castellfollit de Riubregos,Castellfollit aventura,http://castellfollitaventura.cat/escaperoom,,,6,,"41,78042200","1,44433800",si,,,,,,no,,
Cornellà de Llobregat,Indaga cornellà,http://www.indagacornella.com/,,,,,"41,36623340","2,07267030",no,,,,,,no,,
Cornellà de Llobregat,Last minute Cornella,https://www.facebook.com/lastminutecornella/,,,,,"41,35850080","2,07304830",si,,,,,,no,,
Cornellà de Llobregat,Missionleak,http://missionleak.com/es/,La Flor de Thaqar,,5,,"41,35653000","2,06931330",si,2015-03-21,Alcaparrones,5,,,no,,
Cornellà de Llobregat,Open mind room escape,http://openmindroomescape.es/,Misión S.W.A.T,,6,,"41,36477270","2,07537450",si,2017-07-16,Alcaparrones,"4,25",,,no,,
Cornellà de Llobregat,Sala Koala,http://www.salakoala.com/,La modelo,,,,"41,35479400","2,07271200",si,,,,,,no,,
Cubelles,Desafío pirata: the mysterious legand of cubelles,http://desafiopirata.com/,,,,,"41,19945490","1,66774620",si,,,,,,no,,
Esparraguera,The mystery rooms,http://themysteryrooms.com/,The Richardson's,Terror,5,,"41,52502000","1,85577830",si,,,,,,no,,
Figueres,Kiwi escape room,http://kiwiescaperoom.com/,Centro penitenciario Northwind,,5,,"42,26220580","2,94898690",si,,,,,,no,,
Figueres,Kiwi escape room,http://kiwiescaperoom.com/,Hotel del crimen,,5,,"42,26220580","2,94898690",no,,,,,,no,,
Figueres,Film escape room,http://filmescaperoom.com/,Sala 1,,5,,"42,27015080","2,96322060",si,,,,,,,,
Girona,Escapis,http://www.escapis.cat/es,,,,,"41,98498170","2,82072720",si,,,,,,no,,
Girona,Fugir,http://www.fugir.cat/,,,6,,,,si,,,,,,no,,
Gironella,Hostal 83,http://hostal83.wixsite.com/hostal83,,Terror,6,,"42,03458400","1,87775130",si,,,,,,no,,
Granollers,Agencia 846,http://www.agencia846.com/,Cas Namibia,,5,,"41,61164540","2,28645080",si,,,,,,no,,
Granollers,Escapa del miedo,https://escapadelmiedo.com/,Clown key,,6,,"41,60305480","2,28611310",si,,,,,,,,
Granollers,Granollers experience,http://granollersexperience.com/,Bandidos,,6,,"41,60961720","2,29033300",si,,,,,,no,,
Granollers,KeyPlay,http://www.keyplay.es/,Expediente Mallory,,6,,"41,60382230","2,28587260",si,,,,,,no,,
Hospitalet de LLobregat,Fauna room escape,http://www.faunaroomescape.com/,,,5,,"41,36906290","2,10677820",si,,,,,,,,
Hospitalet de LLobregat,Sala Enigma,http://hospitalet.salaenigma.com/,El último sefardí,,6,,"41,36309650","2,12274230",si,,,,,,,,
Hospitalet de LLobregat,Scroom BCN,http://www.scroombcn.com/,El piromano,,5,,"41,39065490","2,11289130",si,2017-02-04,Alcaparrones,4,,,no,,
Hospitalet de LLobregat,Room escape Hospi,http://roomescapehospi.com/,El juego de Ariel,,,,,,no,,,,,,no,,
Hospitalet de LLobregat,The X door,http://thexdoorbarcelona.com,White&Black,,6,,"41,36900700","2,12252830",si,,,,,,no,,
Hospitalet de LLobregat,The X door,http://thexdoorbarcelona.com,The haunted prision,,6,,"41,36900700","2,12252830",si,,,,,,no,,
Hospitalet de LLobregat,Unreal,http://unrealroomescape.es/,La mina,,6,,"41,36210700","2,12910000",si,2017-08-28,Alcaparrones,4,,,,,
Igualada,Runaway room escape,http://www.runawayescaperoom.com/,Venganza,,6,,"41,58166890","1,62624910",si,,,,,,,,
Lleida,Bluescape room,http://bluescaperoom.com/,Amenaza nuclear,,5,,"41,60864560","0,66226770",si,,,,,,no,,
Lleida,Escapa-T,http://escapatlleida.com/,Wild west,,7,,"41,62289700","0,62517370",si,,,,,,Las 3 cajas,8-25,http://escapatlleida.com/tres-cajas
LLoret de Mar,The gourmet escape room,https://www.escaperoomlloret.com/ca/,L'especial del xef,,7,,"41,70082150","2,84514190",si,,,,,,,,
Malgrat de Mar,Houdini escape room,http://www.escapehoudini.com/,El aprendiz de Houdini,,5,,"41,64086000","2,73492130",si,2017-10-22,Alcaparrones,"4,3",,,no,,
Malgrat de Mar,Houdini escape room,http://www.escapehoudini.com/,Houdini & Doyle,,5,,"41,64086000","2,73492130",si,,,,,,,,
Manresa,La clau room escape,http://www.laclauroomescape.com/,La caixa de Pandora,,6,,"41,72513330","1,81821980",si,,,,,,no,,
Manresa,La clau room escape,http://www.laclauroomescape.com/,Piramide de les estrelles,,6,,"41,72513330","1,81821980",no,,,,,,no,,
Manresa,Secret Room Escape,http://www.secretroomescape.com/,El misterio de Montserrat,,6,,"41,73204470","1,82591680",si,,,,,,no,,
Manresa,Secret Room Escape,http://www.secretroomescape.com/,Las estancias de la ama de llaves,,6,,"41,73204470","1,82591680",si,,,,,,no,,
Manresa,El codi Houdini,http://www.elcodihoudini.com/,Aventura,,6,,,,si,,,,,,no,,
Manresa,El codi Houdini,http://www.elcodihoudini.com/,Misteri,,6,,,,si,,,,,,no,,
Masnou,Escape Masnou,https://escapemasnou.com/,El submarino soviético,,5,,"41,47967050","2,30321390",si,2016-08-22,Alcaparrones,"4,6",,,no,,
Mataró,Cubick,http://cubickroomescape.es/,La entrevista,,6,,"41,53308910","2,44102900",si,2016-10-01,Nadgi,"4,5",,,MOORDER,16-48,http://cubickroomescape.es/juegos-escape/escape-room-empresas/
Mataró,Cubick,http://cubickroomescape.es/,El secuestro,,6,,"41,53308910","2,44102900",si,,,,,,no,,
Mataró,Cubick,http://boomescape.com,Boom Escape,,6,,"41,53308910","2,44102900",no,,,,,,no,,
Mataró,Enigmatiks,http://www.enigmatiks.com/ca/,,,,,"41,53735200","2,44440060",si,,,,,,no,,
Mataró,Effugium,http://www.effugium.es/,Amenaza bomba,,,,"41,54295680","2,42704320",si,,,,,,no,,
Mataró,La sortida,http://www.lasortida.es/,Codicia,,6,,"41,54083560","2,42967660",si,,,,,,no,,
Mataró,La sortida,http://www.lasortida.es/,,,,,"41,54083560","2,42967660",no,,,,,,no,,
Mataró,Secretbox,http://escaperoommataro.com/,The misterious room (cazafantasmas),,6,,"41,54487230","2,43492630",si,,,,,,,,
Mataró,Secretbox,http://escaperoommataro.com/,El equipo A,,,,"41,54487230","2,43492630",no,,,,,,,,
Mataró,Secretbox,http://escaperoommataro.com/,La momia,,,,"41,54487230","2,43492630",no,,,,,,,,
Molins de Rei,La soga,http://www.la-soga.com/,,,,,"41,40476700","2,02415230",si,2017-01-15,Alcaparrones,4,,,no,,
Mollet del Vallès,Trapped Mollet,http://www.trappedmollet.com/,,,,,"41,53319970","2,20663140",si,,,,,,no,,
Nueva York,Escape the room NYC,http://static.escapetheroomnyc.com/,Agency,,8,,"40,74732150","-73,98944540",si,2016-08-08,Nadgi,3,,,no,,
Olesa de Montserrat,Escapa 32,http://escapa32.com/,La fórmula de l'oli,,6,,"41,54196930","1,89346120",si,,,,,,,,
Oropesa del Mar,Secretorum,http://secretorum.es,,,,,"40,11306310","0,14737030",si,,,,,,no,,
Palamòs,ClaustroEuphoria,http://www.claustroeuphoria.com/,Viatge a la lluna,,,,"41,85773240","3,12597380",si,,,,,,no,,
Palamòs,ClaustroEuphoria,http://www.claustroeuphoria.com/,Aventura surrealista,,,,"41,85773240","3,12597380",si,,,,,,no,,
Pamplona,Overtime,https://overtimepamplona.es/,Cien años de perdón,,6,,"42,82172000","-1,65015600",si,2017-08-16,Nadgi,"4,5",,,no,,
Pineda de Mar,Challenge Escape,https://challengescape.es/,Allien Attack,,6,,"41,62889000","2,69327700",si,2017-10-22,Alcaparrones,"2,5",,,,,
Pineda de Mar,Lab escape,https://www.labescapepineda.com/,Proyecto Escaporium,,7,,"41,62824010","2,68898220",si,,,,,,,,
Pineda de Mar,Futura escape,https://futuraescape.com/,,,6,,"41,61835620","2,67115540",si,,,,,,,,
Platja d'Aro,Escape room world,http://www.escaperoom.world/,La platja perduda,,,,"41,81597440","3,06244700",si,,,,,,,,
Platja d'Aro,Escape room world,http://www.escaperoom.world/,Cop all casino,,,,"41,81597440","3,06244700",si,,,,,,,,
Reus,Enigmatik games,http://www.enigmatikgames.com/,CSI Costa Dorada,,,,"41,15124900","1,10825900",si,,,,,,no,,
Reus,Enigmatik games,http://www.enigmatikgames.com/,El golpe,,,,"41,15124900","1,10825900",si,,,,,,no,,
Sabadell,Escapem,http://escapem.com/,La sospecha,,5,,"41,53031070","2,11555600",si,2016-09-17,Alcaparrones,"3,75",,,no,,
Sabadell,Escapem,http://escapem.com/,Bajo zero,,6,,"41,53031070","2,11555600",si,,,,,,,,
Sabadell,Escapanimus,http://www.escapanimus.cat/es/,Victus,,7,,"41,55116700","2,10062000",si,,,,,,,,
Sabadell,Estelar trek,http://estelartrek.com/,,,5,,"41,56360230","2,08423480",si,,,,,,,,
Sant Adrià del Besòs,G point,http://gpoint.es/,,,4,,"41,41169270","2,22209300",no,,,,,,no,,
Sant Cugat del Vallès,Komnata Quest,http://komnataquest.es/barcelona/,Castillo Sant Angelo,,5,,"41,38624040","2,17848910",si,,,,,,no,,
Sant Cugat del Vallès,MI7 Medusa Corp,http://www.mi7medusacorp.com/,MI7 Medusa Corp,,5,,"41,47556530","2,05537170",si,,,,,,no,,
Sant Cugat del Vallès,SantQescape,http://santqescape.com/,Préssec en alquimia,,5,,"41,47274870","2,08274490",si,,,,,,,,
